item,label,cond1,cond2,cond3,sentence,comprehension_question,answerchoice0,answerchoice1,correct_response,group,,,,,,,,,,,,,,,,,,,,
302,practice_filler_302,practice,filler,,The film critic wept at the end of his favorite French film.,Was the film critic incapable of crying?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
304,practice_filler_304,practice,filler,,The pilots flew over the city where they had just had a wonderful weekend.,Did the pilots enjoy themselves in the city?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
305,practice_filler_305,practice,filler,,The leader of the crime ring was always suspicious of his business partners.,Was the crime leader suspicious?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
307,practice_filler_307,practice,filler,,The store manager carefully tended to both the interior and exterior of the store.,Did the manager care about the appearance of the store?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
308,practice_filler_308,practice,filler,,The laptops were too expensive for most of the students.,What was not affordable for the students?,tuition,laptops,1,nolist,,,,,,,,,,,,,,,,,,,,
309,practice_filler_309,practice,filler,,The heater in the basement was so powerful that the tenants had to open their windows.,Was the basement heater weak?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
310,practice_filler_310,practice,filler,,The wealthy socialite gave the needy child a scholarship.,Was the child wealthy?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
311,practice_filler_311,practice,filler,,Several construction workers lost their jobs when the housing market declined.,Did some of the workers lose their jobs?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
313,practice_filler_313,practice,filler,,The library was open to all members of the community since it was supported by tax dollars.,Who funded the library?,university,taxpayers,1,nolist,,,,,,,,,,,,,,,,,,,,
315,practice_filler_315,practice,filler,,The soccer players ran a mile each day before the season started.,Did the soccer players only run once a week?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
317,practice_filler_317,practice,filler,,The bulldozers were removing rubble from the demolished building.,Did the bulldozers clear away debris from the building?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
318,practice_filler_318,practice,filler,,The vacant building overlooks the river that winds through town.,What did the building overlook?,river,train station,0,nolist,,,,,,,,,,,,,,,,,,,,
319,practice_filler_319,practice,filler,,The power plant deserved more attention from the candidates during the election.,Did the plant receive adequate attention in the election?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
320,practice_filler_320,practice,filler,,The new student was noticed by everyone when he came into the room.,Did everyone ignore the student when he came into the room?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
322,practice_filler_322,practice,filler,,All the parents at the meeting strongly disagreed with the new policy.,Did the parents like the new policy?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
324,practice_filler_324,practice,filler,,The librarian read the extremely dense book to the middle school students.,Did the students get to hear a book?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
326,practice_filler_326,practice,filler,,The shoe salesman looked impatiently out the window while waiting for customers.,Was the salesman eager for business?,Y,N,0,nolist,,,,,,,,,,,,,,,,,,,,
328,practice_filler_328,practice,filler,,Bikes were not permitted on the town's sidewalks.,What was not permitted on the sidewalks?,motorcycles,bicycles,1,nolist,,,,,,,,,,,,,,,,,,,,
329,practice_filler_329,practice,filler,,The hotel bathroom paint was peeling after years of exposure to moisture.,Was the paint in the hotel bathrooms in good shape?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
331,practice_filler_331,practice,filler,,The prisoners were unable to cross the field without being seen.,Were the prisoners able to cross the field unseen?,Y,N,1,nolist,,,,,,,,,,,,,,,,,,,,
