item,label,cond1,cond2,cond3,sentence,comprehension_question,answerchoice0,answerchoice1,correct_response,group
1,intrS_intr_1,intrS,intr,Bend,The pipe bent towards the ground to connect to the underground line.,What connected to the line underground?,a pipe,a subway,0,list1
1,intrS_tran_1,intrS,tran,Bend,The ironworker bent towards the ground to connect the plug to the outlet.,What did the ironworker connect to the outlet?,the ironworker,a plug,1,list2
1,tranS_intr_1,tranS,intr,Bend,The pipe bent the car door when he slipped and dropped it.,What did he drop?,car door,pipe,1,list3
1,tranS_tran_1,tranS,tran,Bend,The ironworker bent the car door when he slipped and fell against it.,What got bent?,car door,ironworker,0,list4
2,intrS_intr_2,intrS,intr,Break,The window broke into a hail of sharp fragments of glass when he slammed it down too quickly.,What got slammed down?,a door,a window,1,list2
2,intrS_tran_2,intrS,tran,Break,Her husband broke into a hail of sharp recriminations when she forgot to pick up the car at the repair shop yet again.,What did she forget to pick up?,him,the car,1,list1
2,tranS_intr_2,tranS,intr,Break,The window broke his hand because he slammed it shut too fast.,What got broken?,his hand,the window,0,list4
2,tranS_tran_2,tranS,tran,Break,Her husband broke his hand because he slammed it down too hard on the table.,Who broke their hand?,her husband,her,0,list3
3,intrS_intr_3,intrS,intr,Burn,The popcorn burned rather badly after remaining on the stove too long.,Where did the popcorn burn?,outside,on the stove,1,list1
3,intrS_tran_3,intrS,tran,Burn,The chemist burned rather badly after remaining in the sun too long.,Where did the chemist burn?,outside,on the stove,0,list2
3,tranS_intr_3,tranS,intr,Burn,The popcorn burned his fingers when he grabbed a handful from the pan.,What got burned?,his fingers,the popcorn,0,list3
3,tranS_tran_3,tranS,tran,Burn,The chemist burned his fingers when he grabbed the hot pan.,What did the chemist grab?,the beaker,the hot pan,1,list4
4,intrS_intr_4,intrS,intr,Change,Her feelings changed from cold to friendly after he apologized for his accidental insult.,What did he apologize for?,his brother,his insult,1,list2
4,intrS_tran_4,intrS,tran,Change,His teacher changed from cold to friendly after he apologized for putting so little effort into his work.,Did he apologize?,yes,no,0,list1
4,tranS_intr_4,tranS,intr,Change,Her feelings changed his earlier plan to delay the date of the wedding.,What caused him to change his earlier plan?,her feelings,the wedding,0,list4
4,tranS_tran_4,tranS,tran,Change,His teacher changed his earlier plan to delay the date of the final exam.,Is the final exam delayed now?,yes,no,1,list3
5,intrS_intr_5,intrS,intr,Chill,The wine chilled through the afternoon but they never bothered to open it.,How long did the wine chill?,through the afternoon,for years,0,list1
5,intrS_tran_5,intrS,tran,Chill,The wind chilled through the afternoon but they never bothered to put sweaters on.,Did they wear sweaters?,no,yes,0,list2
5,tranS_intr_5,tranS,intr,Chill,The wine chilled the spectators who stood drinking it on the terrace.,What made the spectators feel colder?,the snow,the wine,1,list3
